Classes,precision,recall,f1-score,support
143,0.786729858,0.653543307,0.713978495,254
144,0.638795987,0.782786885,0.703499079,244
145,0.679069767,0.584,0.627956989,250
146,0.93442623,0.930612245,0.932515337,245
147,0.756,0.825327511,0.78914405,229
148,0.892857143,0.819672131,0.854700855,244
149,0.457912458,0.569037657,0.507462687,239
150,0.815384615,0.812260536,0.813819578,261
151,0.960474308,0.927480916,0.94368932,262
152,0.843137255,0.947136564,0.892116183,227
153,0.770750988,0.789473684,0.78,247
154,0.78,0.730337079,0.754352031,267
155,0.879166667,0.864754098,0.871900826,244
156,0.704225352,0.595238095,0.64516129,252
157,0.779166667,0.80952381,0.794055202,231
158,0.93697479,0.93697479,0.93697479,238
159,0.84279476,0.784552846,0.812631579,246
160,0.834586466,0.956896552,0.891566265,232
161,0.988,1,0.993963783,247
162,0.917293233,0.979919679,0.947572816,249
163,0.913043478,0.916666667,0.914851485,252
164,0.94017094,0.887096774,0.912863071,248
165,0.816143498,0.78111588,0.798245614,233
166,0.765734266,0.862204724,0.811111111,254
167,0.877637131,0.742857143,0.804642166,280
168,0.840425532,0.672340426,0.747044917,235
169,0.842307692,0.948051948,0.892057026,231
170,0.884,0.936440678,0.909465021,236
171,0.797709924,0.806949807,0.802303263,259
172,0.724137931,0.771428571,0.747035573,245
173,0.812765957,0.764,0.787628866,250
174,0.888030888,0.867924528,0.877862595,265
175,0.90625,0.845833333,0.875,240
176,0.969811321,0.958955224,0.96435272,268
177,0.93495935,0.974576271,0.954356846,236
178,0.953488372,0.964705882,0.959064327,255
179,0.909465021,0.880478088,0.894736842,251
180,0.704453441,0.728033473,0.716049383,239
181,0.757352941,0.847736626,0.8,243
182,0.874476987,0.853061224,0.863636364,245
183,0.951020408,0.924603175,0.937625755,252
184,0.820224719,0.893877551,0.85546875,245
185,0.9375,0.905660377,0.921305182,265
186,0.701149425,0.778723404,0.737903226,235
187,0.7,0.761506276,0.729458918,239
188,0.832713755,0.896,0.863198459,250
189,0.903361345,0.86,0.881147541,250
avg / total,0.869432878,0.868105263,0.86747802,47500
